name,nickname,score,count,platform,date,dna,company,tag,url
少女萌枪2,ぎゃるがん2,7.1,11,"['PS4', 'Switch']",2018-03-15,"['动作', '角色扮演', '冒险', '射击']",Inti Creates,"['动作', '角色扮演', '冒险', '射击']",https://www.vgtime.com/game/10538.jhtml
火爆狂飙 天堂 重制版,Burnout Paradise Remastered,6.5,13,"['PC', 'XBone', 'PS4']",2018-03-16,"['模拟', '竞速', '开放世界']",Criterion Games,"['模拟', '竞速', '开放世界']",https://www.vgtime.com/game/10636.jhtml
星之卡比 新星同盟,Kirby Star Allies,7.5,307,['Switch'],2018-03-16,"['动作', '冒险']",HAL Laboratory,"['动作', '冒险']",https://www.vgtime.com/game/10406.jhtml
进击的巨人2,進撃の巨人2,7.7,51,"['PC', 'XBone', 'PSV', 'PS4', 'Switch']",2018-03-15,['动作'],Omega Force,['动作'],https://www.vgtime.com/game/10481.jhtml
谎言游戏,Usotsuki Game,-1.0,-1,"['PC', 'Android', 'iOS']",2018-03-16,"['角色扮演', '解谜', '冒险']",Studio Wasabi,"['角色扮演', '解谜', '冒险']",https://www.vgtime.com/game/10644.jhtml
盗贼之海,Sea of thieves,6.7,72,"['PC', 'XBone']",2018-03-20,"['动作', '冒险', '主视角']",Rare,"['动作', '冒险', '主视角', '合家欢', '没落英国贵族魂安在', '外挂横行']",https://www.vgtime.com/game/2205.jhtml
心跳偶像,ときめきアイドル,-1.0,-1,"['Android', 'iOS']",2018-03-20,"['音乐', '卡牌', '育成', 'VR']",Konami,"['音乐', '卡牌', '育成', 'VR']",https://www.vgtime.com/game/10537.jhtml
莫斯,Moss,-1.0,-1,"['PC', 'PS4']",2018-02-27,"['动作', '解谜', '冒险', 'VR']",Polyarc,"['动作', '解谜', '冒险', 'VR']",https://www.vgtime.com/game/10399.jhtml
赤红之街 恶魔的挑战 豪华版,Streets of Red: Devil’s Dare Deluxe,-1.0,-1,"['PS4', 'Switch']",2018-02-27,"['恐怖', '平台', '射击']",Secret Base,"['恐怖', '平台', '射击']",https://www.vgtime.com/game/10712.jhtml
战场女武神4,戦場のヴァルキュリア 4,8.4,295,"['PC', 'XBone', 'PS4', 'Switch']",2018-03-21,"['动作', '策略', '角色扮演', '第三人称', '射击', '回合制']",SEGA,"['动作', '策略', '角色扮演', '第三人称', '射击', '回合制']",https://www.vgtime.com/game/10562.jhtml
二之国2 王国再临,二ノ国II レヴァナントキングダム,7.9,115,"['PC', 'PS4']",2018-03-23,['角色扮演'],LEVEL-5,"['角色扮演', '二之国2 亡者之国']",https://www.vgtime.com/game/3495.jhtml
MULAKA,,-1.0,-1,"['PC', 'XBone', 'PS4', 'Switch']",2018-02-27,"['动作', '角色扮演', '解谜']",Lienzo,"['动作', '角色扮演', '解谜']",https://www.vgtime.com/game/10507.jhtml
深入裂隙,Into the Breach,8.8,49,"['PC', 'Switch']",2018-02-27,"['策略', '独立', '回合制']",Subset Games,"['策略', '独立', '回合制']",https://www.vgtime.com/game/10624.jhtml
出路,A Way Out,8.6,134,"['PC', 'XBone', 'PS4']",2018-03-23,['冒险'],HazeLight,"['冒险', '66']",https://www.vgtime.com/game/10377.jhtml
孤岛惊魂5,Far Cry 5,8.0,354,"['PC', 'XBone', 'PS4']",2018-03-27,"['角色扮演', '主视角', '射击']",Ubisoft,"['角色扮演', '主视角', '射击', '美国文化']",https://www.vgtime.com/game/10292.jhtml
方块方舟,PixARK,-1.0,-1,"['PC', 'XBone', 'PS4', 'Switch']",2018-03-27,"['生存', '冒险', '开放世界']",Wildcard,"['生存', '冒险', '开放世界']",https://www.vgtime.com/game/10828.jhtml
告别回忆 无垢少女,メモリーズオフ -Innocent Fille-,9.1,59,"['PC', 'PSV', 'PS4', 'Switch']",2018-03-29,"['文字', '冒险']",MAGES.,"['文字', '冒险', '哎哟']",https://www.vgtime.com/game/10545.jhtml
光明之响 龙奏回音,シャイニング・レゾナンス リフレイン,7.0,44,"['PC', 'XBone', 'PS4', 'Switch']",2018-03-29,"['角色扮演', '回合制']",SEGA,"['角色扮演', '回合制']",https://www.vgtime.com/game/10559.jhtml
超级机器人大战X,スーパーロボット大戦X,8.3,190,"['PSV', 'PS4']",2018-03-29,"['策略', '模拟', '回合制']",B.B.Studio,"['策略', '模拟', '回合制', '热血', '机器人', '男人的浪漫', '登龙剑值得了!']",https://www.vgtime.com/game/10591.jhtml
决战！平安京,代号MOBA,-1.0,-1,"['Android', 'iOS']",2018-01-02,['MOBA'],雷火网络,['MOBA'],https://www.vgtime.com/game/11037.jhtml
诞辰之始,Happy Birthdays,-1.0,-1,['Switch'],2018-03-29,"['模拟', '益智', '育成']",Arc System Works,"['模拟', '益智', '育成']",https://www.vgtime.com/game/10668.jhtml
最终幻想 纷争NT,ディシディア ファイナルファンタジNT,7.0,63,['PS4'],2018-01-11,"['动作', '格斗', '第三人称']",Koei Tecmo,"['动作', '格斗', '第三人称']",https://www.vgtime.com/game/10362.jhtml
幸福庄的管理员,しあわせ荘の管理人さん。,-1.0,-1,['PS4'],2018-01-11,"['角色扮演', '冒险', 'VR']",D3 Publisher,"['角色扮演', '冒险', 'VR']",https://www.vgtime.com/game/4405.jhtml
开司VR 绝望的走钢丝,カイジVR 絶望の鉄骨渡り,-1.0,-1,['PS4'],2018-01-11,"['模拟', '体感', 'VR']",Soild Sphere,"['模拟', '体感', 'VR']",https://www.vgtime.com/game/10431.jhtml
Next Up Hero,下一个英雄,-1.0,-1,"['PC', 'XBone', 'PS4', 'Switch']",2018-01-12,"['动作', '策略', '角色扮演', '生存', '俯视角']",Digital Continue,"['动作', '策略', '角色扮演', '生存', '俯视角']",https://www.vgtime.com/game/10505.jhtml
疯狂之冠,Mad Crown,-1.0,-1,['PC'],2018-01-13,"['策略', '角色扮演']",S-Game,"['策略', '角色扮演']",https://www.vgtime.com/game/10607.jhtml
全·金属狂怒,Full Metal Furies,-1.0,-1,"['PC', 'XBone']",2018-01-17,"['动作', '角色扮演', '冒险', '独立', '多人']",Cellar Door Games,"['动作', '角色扮演', '冒险', '独立', '多人']",https://www.vgtime.com/game/10814.jhtml
