name,nickname,score,count,platform,date,dna,company,tag,url,img
雷电5 导演剪辑版,Raiden V: Director's Cut,-1.0,-1,"['PC', 'PS4']",2017-09-14,"['弹幕', '射击']",MOSS,"['弹幕', '射击']",https://www.vgtime.com/game/10470.jhtml,
耻辱：界外魔之死,Dishonored: Death of the Outsider,8.2,56,"['PC', 'XBone', 'PS4']",2017-09-15,['动作'],Arkane Studios,"['动作', '丢人2', '雷电推荐的游戏', '不要玩', '黑手党3和质量效益4', '都是他推荐的', '確實好玩']",https://www.vgtime.com/game/10375.jhtml,https://img01.vgtime.com/game/cover/2017/06/12/170612131648131.jpg
银河战士：萨姆斯归来,Metroid:  Samus  Returns,8.5,113,['3DS'],2017-09-15,"['动作', '平台', '射击']",MercurySteam,"['动作', '平台', '射击']",https://www.vgtime.com/game/10407.jhtml,https://img01.vgtime.com/game/cover/2018/01/28/180128183906892.jpg
Fantasy Strike,,-1.0,-1,"['PC', 'PS4', 'Switch']",2017-09-15,"['动作', '格斗', '独立']",Sirlin Games,"['动作', '格斗', '独立']",https://www.vgtime.com/game/10654.jhtml,https://img01.vgtime.com/game/cover/2018/03/21/180321130711945.jpg
愤怒军团：重装,Anger Force Reloaded,7.8,15,[],2017-09-15,['射击'],null,['射击'],https://www.vgtime.com/game/10498.jhtml,https://img01.vgtime.com/game/cover/2017/08/31/17083112225931.png
漫威对卡普空 无限,MARVEL VS. CAPCOM: INFINITE,7.1,33,"['PC', 'XBone', 'PS4']",2017-09-19,['格斗'],CAPCOM,['格斗'],https://www.vgtime.com/game/10184.jhtml,https://img01.vgtime.com/game/cover/2017/11/28/171128130949634.png
NBA 2K18,,7.3,306,"['PC', 'X360', 'XBone', 'PS3', 'PS4', 'Switch']",2017-09-19,['体育'],Visual Concepts,"['体育', '竞技']",https://www.vgtime.com/game/10280.jhtml,https://img01.vgtime.com/game/cover/2017/11/28/171128131927809.jpg
回声,echo,-1.0,-1,['PC'],2017-09-19,"['动作', '冒险', '第三人称']",Ultra Ultra,"['动作', '冒险', '第三人称']",https://www.vgtime.com/game/10592.jhtml,
NBA Live 18,,-1.0,-1,"['XBone', 'PS4']",2017-09-19,['体育'],EA,['体育'],https://www.vgtime.com/game/10363.jhtml,https://img01.vgtime.com/game/cover/2017/11/28/171128134800816.jpg
深邃黑暗幻想,Deep Dark Fantasies,-1.0,-1,['PC'],2017-09-20,"['角色扮演', '模拟', '文字', '健身', '独立']",null,"['角色扮演', '模拟', '文字', '健身', '独立']",https://www.vgtime.com/game/10520.jhtml,
地球战争2,Terra Battle 2,-1.0,-1,"['PC', 'Android', 'iOS']",2017-09-21,['角色扮演'],Mistwalker,['角色扮演'],https://www.vgtime.com/game/10416.jhtml,https://img01.vgtime.com/game/cover/2017/06/27/170627122802240.jpg
破星突袭者,Raiders of the Broken Planet,-1.0,-1,"['PC', 'XBone', 'PS4']",2017-09-22,"['MMO', '冒险']",MercurySteam,"['MMO', '冒险']",https://www.vgtime.com/game/3615.jhtml,https://img01.vgtime.com/photo/web/160418101243556.jpg
赛车计划2,Project CARS 2,7.3,32,"['PC', 'XBone', 'PS4']",2017-09-22,"['模拟', '竞速']",Slightly Mad Studios,"['模拟', '竞速']",https://www.vgtime.com/game/10098.jhtml,https://img01.vgtime.com/game/cover/2017/11/28/171128132158345.png
乐高忍者,The Lego Ninjago,-1.0,-1,"['PC', 'XBone', 'PS4', 'Switch']",2017-09-22,"['动作', '冒险']",null,"['动作', '冒险']",https://www.vgtime.com/game/10420.jhtml,https://img01.vgtime.com/game/cover/2017/06/30/170630124127251.png
口袋铁拳DX,Pokken Tournament DX,8.3,201,['Switch'],2017-09-22,"['动作', '格斗', '育成']",Bandai Namco,"['动作', '格斗', '育成', '还原动画战斗']",https://www.vgtime.com/game/10354.jhtml,https://img01.vgtime.com/game/cover/2017/06/07/170607114152661.jpg
黑道圣徒4:连任+冲出地狱,Saints Row IV: Re-Elected+Gat out of Hell,7.2,228,"['PC', 'X360', 'XBone', 'PS3', 'PS4']",2015-01-27,"['动作', '冒险']",Volition,"['动作', '冒险']",https://www.vgtime.com/game/291.jhtml,https://img01.vgtime.com/photo/web/150423224654862.jpg
阿兹特克人,Aztez,-1.0,-1,"['PC', 'WiiU', 'XBone', 'PSV', 'PS4']",2017-08-01,['策略'],Team Colorblind,['策略'],https://www.vgtime.com/game/24.jhtml,https://img01.vgtime.com/photo/web/150924150412903.jpg
塔科马,Tacoma,-1.0,-1,"['PC', 'XBone', 'PS4']",2017-08-02,"['冒险', '主视角', '独立']",Fullbright,"['冒险', '主视角', '独立']",https://www.vgtime.com/game/4290.jhtml,https://img01.vgtime.com/game/cover/2017/11/21/171121192748673.jpg
神秘世界 传奇,Secret World Legends,-1.0,-1,['PC'],2017-08-01,"['解谜', 'MMO', '恐怖']",Funcom,"['解谜', 'MMO', '恐怖']",https://www.vgtime.com/game/10452.jhtml,
破法者,LawBreakers,-1.0,-1,"['PC', 'PS4']",2017-08-08,"['主视角', '射击']",Boss Key Productions,"['主视角', '射击']",https://www.vgtime.com/game/2723.jhtml,https://img01.vgtime.com/game/cover/2017/11/21/171121181354372.jpg
启蒙,Enlightenment,-1.0,-1,['PC'],2017-08-04,"['动作', '射击']",null,"['动作', '射击']",https://www.vgtime.com/game/10422.jhtml,https://img01.vgtime.com/game/cover/2017/06/30/170630181138192.jpg
地狱之刃,Hellblade,8.2,131,"['PC', 'XBone', 'PS4']",2017-08-08,"['动作', '恐怖', '沙箱', '冒险', '独立']",Ninja Theory,"['动作', '解谜', '恐怖', '沙箱', '冒险', '独立', '人文', '精神障碍', '镜头晃']",https://www.vgtime.com/game/2188.jhtml,https://img01.vgtime.com/photo/web/150611004118474.jpg
